tanggal,id_komoditas,nama_komoditas,id_harga_pangan,nama_pasar,harga
2023-01-01,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-02,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-03,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-04,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-05,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-06,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-07,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-08,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-09,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-10,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
2023-01-11,19,"Bawang Merah,1 kg",eyJpdiI6IlRVVHY4aGtwMjZZZGhCU0o4TlRzM2c9PSIsInZhbHVlIjoiQ3QzWUhMNTFSYW9LenluVG5wR0JBZz09IiwibWFjIjoiMDBjOTE0MjE0ZWEyOWNiMDVlZTdiNDU1OTA0ZGQwYmNiMWY3ZTUzOTY1NzU1YjNlYTE5OWJhNTFhNjFkNzk3NiIsInRhZyI6IiJ9,Pasar Beringharjo,0.0
